% Model,Homemade chicken patties_group model2.mph,,,,,,,,,
% Version,COMSOL 5.4.0.295,,,,,,,,,
% Date,"Apr 28 2021, 21:05",,,,,,,,,
% Dimension,1,,,,,,,,,
% Nodes,44,,,,,,,,,
% Expressions,1,,,,,,,,,
% Description,Point graph,,,,,,,,,
% R,Height,,,,,,,,,
80/20,,,85/15,,,90/10,,,95/5,
time [s],temp [C],,time [s],temp [C],,time [s],temp [C],,time [s],temp [C]
0,20,,0,20,,0,20,,0,20
10000,63.04453475,,10000,62.95770553,,10000,62.87087278,,10000,62.78063268
20000,66.61646556,,20000,66.57921961,,20000,66.54160684,,20000,66.50363872
30000,68.06032555,,30000,68.03303952,,30000,68.00566146,,30000,67.97820005
40000,68.92494097,,40000,68.90320962,,40000,68.8813683,,40000,68.85942564
50000,69.52454508,,50000,69.50530743,,50000,69.48605957,,50000,69.46680505
60000,69.99686043,,60000,69.97786548,,60000,69.95899037,,60000,69.94023263
70000,70.3981929,,70000,70.37909835,,70000,70.36012822,,70000,70.34128031
80000,70.74657926,,80000,70.72720742,,80000,70.70799357,,80000,70.68893457
90000,71.05599867,,90000,71.03625336,,90000,71.01668844,,90000,70.9973005
100000,71.33394286,,100000,71.31388308,,100000,71.29401112,,100000,71.27432404
